IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
144.24.243.207,443,443,true,ZRH,Europe,CH,Zurich,353,5.72
132.226.233.85,443,443,true,ICN,Asia Pacific,KR,Seoul,92,5.71
141.147.116.102,443,443,true,FRA,Europe,DE,Frankfurt,276,5.71
193.123.60.193,443,443,true,FRA,Europe,DE,Frankfurt,337,5.71
141.148.220.141,443,443,true,BOM,Asia Pacific,IN,Mumbai,117,5.68
143.47.249.122,443,443,true,FRA,Europe,DE,Frankfurt,279,5.66
193.123.189.237,443,443,true,FRA,Europe,DE,Frankfurt,423,5.65
131.186.27.112,2096,443,true,ICN,Asia Pacific,KR,Seoul,237,5.65
129.151.225.228,2053,443,true,MRS,Europe,FR,Marseille,255,5.59
129.159.22.4,443,443,true,MAA,Asia Pacific,IN,Chennai,56,5.58
141.147.26.129,443,443,true,FRA,Europe,DE,Frankfurt,426,5.58
158.178.147.252,443,443,true,FRA,Europe,DE,Frankfurt,289,5.58
79.76.118.44,443,443,true,FRA,Europe,DE,Frankfurt,263,5.56
129.159.223.42,443,443,true,FRA,Europe,DE,Frankfurt,360,5.56
143.47.177.86,443,443,true,FRA,Europe,DE,Frankfurt,200,5.55
64.110.104.30,443,443,true,KIX,Asia Pacific,JP,Osaka,283,5.55
140.238.23.148,443,443,true,ICN,Asia Pacific,KR,Seoul,197,5.54
192.9.180.162,443,443,true,SYD,Oceania,AU,Sydney,242,5.52
130.162.224.77,443,443,true,FRA,Europe,DE,Frankfurt,195,5.49
141.145.199.188,443,443,true,CDG,Europe,FR,Paris,500,5.49
131.186.17.132,443,443,true,ICN,Asia Pacific,KR,Seoul,259,5.48
152.67.102.137,443,443,true,SYD,Oceania,AU,Sydney,281,5.47
217.142.128.252,443,443,true,ICN,Asia Pacific,KR,Seoul,277,5.44
84.235.160.84,443,443,true,FRA,Europe,DE,Frankfurt,225,5.43
129.146.7.98,443,443,true,LAX,North America,US,Los Angeles,242,5.41
141.148.242.28,443,443,true,FRA,Europe,DE,Frankfurt,273,5.38
144.24.73.232,443,443,true,ICN,Asia Pacific,KR,Seoul,267,5.38
143.47.243.144,8443,443,true,LHR,Europe,GB,London,193,5.31
129.154.46.115,443,443,true,HYD,Asia Pacific,IN,Hyderabad,208,5.29
141.147.147.180,443,443,true,KIX,Asia Pacific,JP,Osaka,237,5.28
168.138.46.67,443,443,true,KIX,Asia Pacific,JP,Osaka,169,5.27
143.47.241.128,443,443,true,FRA,Europe,DE,Frankfurt,267,5.26
132.145.54.84,8443,443,true,LHR,Europe,GB,London,344,5.24
140.238.58.181,2053,443,true,NRT,Asia Pacific,JP,Tokyo,155,5.22
158.178.152.211,443,443,true,FRA,Europe,DE,Frankfurt,415,5.21
152.70.52.107,443,443,true,FRA,Europe,DE,Frankfurt,307,5.19
130.162.62.203,443,443,true,FRA,Europe,DE,Frankfurt,356,5.16
132.145.116.185,443,443,true,NRT,Asia Pacific,JP,Tokyo,353,5.16
144.21.38.203,443,443,true,FRA,Europe,DE,Frankfurt,212,5.14
141.144.251.65,443,443,true,FRA,Europe,DE,Frankfurt,302,5.14
129.154.59.99,443,443,true,ICN,Asia Pacific,KR,Seoul,191,5.13
144.24.90.107,443,443,true,ICN,Asia Pacific,KR,Seoul,268,5.12
158.178.238.239,443,443,true,SIN,Asia Pacific,SG,Singapore,184,5.11
141.147.154.214,443,443,true,KIX,Asia Pacific,JP,Osaka,196,5.08
152.67.155.13,443,443,true,FRA,Europe,DE,Frankfurt,334,5.08
141.147.55.12,443,443,true,FRA,Europe,DE,Frankfurt,365,5.08
79.72.78.35,443,443,true,FRA,Europe,DE,Frankfurt,255,5.07
84.235.165.5,443,443,true,FRA,Europe,DE,Frankfurt,193,5.07
143.47.251.79,443,443,true,FRA,Europe,DE,Frankfurt,320,5.06
79.72.86.163,443,443,true,FRA,Europe,DE,Frankfurt,303,5.06
150.230.127.161,443,443,true,FRA,Europe,DE,Frankfurt,308,5.06
132.145.54.84,2053,443,true,LHR,Europe,GB,London,404,5.01
130.61.203.115,8443,443,true,FRA,Europe,DE,Frankfurt,259,4.98
140.238.212.95,443,443,true,ZRH,Europe,CH,Zurich,349,4.97
158.180.65.145,443,443,true,ICN,Asia Pacific,KR,Seoul,150,4.96
193.123.61.59,443,443,true,FRA,Europe,DE,Frankfurt,337,4.92
132.226.212.95,443,443,true,FRA,Europe,DE,Frankfurt,235,4.92
130.162.212.3,443,443,true,FRA,Europe,DE,Frankfurt,259,4.85
152.70.57.160,443,443,true,FRA,Europe,DE,Frankfurt,227,4.83
193.123.176.237,443,443,true,FRA,Europe,DE,Frankfurt,319,4.80
143.47.245.15,443,443,true,FRA,Europe,DE,Frankfurt,269,4.79
138.3.253.61,443,443,true,FRA,Europe,DE,Frankfurt,389,4.79
84.235.161.40,443,443,true,FRA,Europe,DE,Frankfurt,262,4.79
84.235.169.245,443,443,true,FRA,Europe,DE,Frankfurt,257,4.75
129.159.206.126,443,443,true,FRA,Europe,DE,Frankfurt,322,4.73
152.67.231.219,443,443,true,SJC,North America,US,San Jose,438,4.71
146.56.101.141,443,443,true,ICN,Asia Pacific,KR,Seoul,182,4.70
129.159.205.103,443,443,true,FRA,Europe,DE,Frankfurt,211,4.67
141.147.3.209,443,443,true,FRA,Europe,DE,Frankfurt,261,4.60
193.122.58.158,443,443,true,FRA,Europe,DE,Frankfurt,348,4.59
158.101.199.249,8443,443,true,AMS,Europe,NL,Amsterdam,223,4.56
129.151.148.35,443,443,true,HKG,Asia Pacific,HK,Hong Kong,263,4.52
89.168.97.140,443,443,true,FRA,Europe,DE,Frankfurt,264,4.47
158.178.192.221,443,443,true,CDG,Europe,FR,Paris,274,4.47
130.162.144.191,443,443,true,ICN,Asia Pacific,KR,Seoul,207,4.47
129.146.171.186,8443,443,true,LAX,North America,US,Los Angeles,283,4.44
150.230.173.97,443,443,true,IAD,North America,US,Ashburn,386,4.44
