IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.144.229.195,443,443,true,FRA,Europe,DE,Frankfurt,173,10.10
141.144.195.187,443,443,true,FRA,Europe,DE,Frankfurt,257,10.10
138.3.242.180,443,443,true,FRA,Europe,DE,Frankfurt,342,10.08
158.101.93.200,443,443,true,SIN,Asia Pacific,SG,Singapore,215,10.08
140.238.95.86,443,443,true,FRA,Europe,DE,Frankfurt,378,10.05
138.3.219.254,443,443,true,LAX,North America,US,Los Angeles,281,10.04
84.235.167.180,443,443,true,FRA,Europe,DE,Frankfurt,365,9.97
158.179.176.174,443,443,true,SIN,Asia Pacific,SG,Singapore,193,9.97
155.248.182.192,443,443,true,SIN,Asia Pacific,SG,Singapore,296,9.94
152.70.155.147,8443,8443,true,LAX,North America,US,Los Angeles,266,9.94
150.230.223.16,443,443,true,LAX,North America,US,Los Angeles,252,9.93
89.168.77.60,443,443,true,FRA,Europe,DE,Frankfurt,285,9.92
141.147.118.134,443,443,true,FRA,Europe,DE,Frankfurt,224,9.91
130.162.247.211,443,443,true,FRA,Europe,DE,Frankfurt,368,9.88
141.147.61.77,443,443,true,FRA,Europe,DE,Frankfurt,365,9.86
141.144.205.125,443,443,true,FRA,Europe,DE,Frankfurt,197,9.82
152.70.98.204,443,443,true,SIN,Asia Pacific,SG,Singapore,216,9.82
158.180.15.67,443,443,true,FRA,Europe,DE,Frankfurt,253,9.82
193.123.35.71,443,443,true,FRA,Europe,DE,Frankfurt,296,9.80
152.70.90.89,443,443,true,SIN,Asia Pacific,SG,Singapore,180,9.80
129.159.243.79,443,443,true,FRA,Europe,DE,Frankfurt,207,9.80
130.162.171.5,443,443,true,FRA,Europe,DE,Frankfurt,219,9.79
141.148.227.202,443,443,true,FRA,Europe,DE,Frankfurt,207,9.78
129.159.13.78,443,443,true,FRA,Europe,DE,Frankfurt,277,9.73
130.162.57.191,443,443,true,FRA,Europe,DE,Frankfurt,211,9.72
89.168.83.143,8443,443,true,FRA,Europe,DE,Frankfurt,270,9.67
140.238.80.153,443,443,true,FRA,Europe,DE,Frankfurt,401,9.66
141.148.232.121,443,443,true,FRA,Europe,DE,Frankfurt,297,9.65
129.159.8.16,443,443,true,FRA,Europe,DE,Frankfurt,298,9.64
152.67.149.77,443,443,true,FRA,Europe,DE,Frankfurt,335,9.61
141.144.199.63,443,443,true,FRA,Europe,DE,Frankfurt,216,9.60
158.180.49.141,443,443,true,FRA,Europe,DE,Frankfurt,207,9.59
158.179.186.116,443,443,true,SIN,Asia Pacific,SG,Singapore,193,9.59
138.2.149.19,443,443,true,FRA,Europe,DE,Frankfurt,407,9.58
132.226.212.249,443,443,true,FRA,Europe,DE,Frankfurt,211,9.54
158.101.202.22,443,443,true,FRA,Europe,DE,Frankfurt,258,9.53
193.123.62.6,443,443,true,FRA,Europe,DE,Frankfurt,413,9.48
79.76.113.13,443,443,true,FRA,Europe,DE,Frankfurt,202,9.48
192.9.138.241,443,443,true,SJC,North America,US,San Jose,282,9.48
158.101.201.68,443,443,true,FRA,Europe,DE,Frankfurt,236,9.48
141.147.87.85,443,443,true,FRA,Europe,DE,Frankfurt,368,9.47
138.2.188.132,443,443,true,FRA,Europe,DE,Frankfurt,300,9.46
